stdr_yyqu_cd,trdar_se_cd,trdar_se_cd_nm,trdar_cd,trdar_cd_nm,svc_induty_cd,svc_induty_cd_nm,stor_co,similr_induty_stor_co,opbiz_rt,opbiz_stor_co,clsbiz_rt,clsbiz_stor_co,frc_stor_co
20251,A,골목상권,3110003,세검정초등학교,CS100005,제과점,3,4,0,0,0,0,1
20251,A,골목상권,3110003,세검정초등학교,CS100006,패스트푸드점,0,1,0,0,0,0,1
20251,A,골목상권,3110003,세검정초등학교,CS100008,분식전문점,3,5,0,0,0,0,2
20251,A,골목상권,3110003,세검정초등학교,CS100009,호프-간이주점,6,6,0,0,0,0,0
20251,A,골목상권,3110003,세검정초등학교,CS100010,커피-음료,4,6,0,0,0,0,2
20251,A,골목상권,3110003,세검정초등학교,CS200001,일반교습학원,16,17,0,0,0,0,1
20251,A,골목상권,3110003,세검정초등학교,CS200003,예술학원,6,6,0,0,0,0,0
20251,A,골목상권,3110003,세검정초등학교,CS200005,스포츠 강습,4,4,0,0,0,0,0
20251,A,골목상권,3110003,세검정초등학교,CS200006,일반의원,1,1,0,0,0,0,0
20251,A,골목상권,3110003,세검정초등학교,CS200008,한의원,1,1,0,0,0,0,0
20251,A,골목상권,3110003,세검정초등학교,CS200010,변호사사무소,1,1,0,0,0,0,0
20251,A,골목상권,3110003,세검정초등학교,CS200017,골프연습장,1,1,0,0,0,0,0
20251,A,골목상권,3110003,세검정초등학교,CS200019,PC방,1,1,0,0,0,0,0
20251,A,골목상권,3110003,세검정초등학교,CS200024,스포츠클럽,2,2,0,0,0,0,0
20251,A,골목상권,3110003,세검정초등학교,CS200025,자동차수리,2,3,0,0,0,0,1
20251,A,골목상권,3110003,세검정초등학교,CS200028,미용실,6,6,0,0,0,0,0
20251,A,골목상권,3110003,세검정초등학교,CS200029,네일숍,1,1,0,0,0,0,0
20251,A,골목상권,3110003,세검정초등학교,CS200030,피부관리실,1,1,0,0,0,0,0
20251,A,골목상권,3110003,세검정초등학교,CS200031,세탁소,2,4,0,0,0,0,2
