기준_년분기_코드,상권_구분_코드,상권_구분_코드_명,상권_코드,상권_코드_명,총_유동인구_수,남성_유동인구_수,여성_유동인구_수,연령대_10_유동인구_수,연령대_20_유동인구_수,연령대_30_유동인구_수,연령대_40_유동인구_수,연령대_50_유동인구_수,연령대_60_이상_유동인구_수,시간대_00_06_유동인구_수,시간대_06_11_유동인구_수,시간대_11_14_유동인구_수,시간대_14_17_유동인구_수,시간대_17_21_유동인구_수,시간대_21_24_유동인구_수,월요일_유동인구_수,화요일_유동인구_수,수요일_유동인구_수,목요일_유동인구_수,금요일_유동인구_수,토요일_유동인구_수,일요일_유동인구_수
20254,R,전통시장,3130255,영등포전통시장,736699,368878,367821,25491,187389,187891,109107,90715,136105,197252,144429,89343,92288,119911,93476,99339,100183,103020,104537,107561,114311,107748
20254,R,전통시장,3130254,남서울상가,51756,25859,25897,2068,12279,11857,7604,6770,11178,11396,10008,7081,7463,9459,6349,6935,7037,7267,7364,7633,8098,7422
20254,R,전통시장,3130253,영신상가(제일상가),56005,28282,27723,2179,14168,13053,8123,7216,11265,12422,10355,7509,8063,10541,7115,7304,7418,7708,7829,8308,9111,8326
20254,R,전통시장,3130250,삼구시장(로타리상가),56605,28641,27965,2234,14373,13237,8209,7291,11261,12590,10421,7569,8137,10671,7219,7359,7475,7772,7892,8399,9254,8457
20254,R,전통시장,3130249,동남상가,53835,26878,26957,2486,12285,12417,8006,7103,11541,12460,10496,7196,7533,9560,6592,7278,7385,7611,7697,7943,8299,7622
20254,R,전통시장,3130248,영등포역지하도상점가,130076,63136,66940,9145,29900,30515,20067,17507,22941,26164,25814,17462,18903,25672,16061,17393,17644,18185,18489,19099,20495,18773
20254,R,전통시장,3130247,우리시장,280696,130643,150052,25122,27075,40882,43990,54114,89513,86104,54957,27873,28453,44710,38598,39307,38924,38716,39037,39139,41973,43599
20254,R,전통시장,3130246,영등포청과시장(조광시장),1424584,685060,739523,132399,238568,334263,236892,207384,275081,358182,310687,197588,189273,207204,161650,209841,207983,209729,208500,209316,191139,188075
20254,R,전통시장,3130245,영일시장,244806,110130,134676,24044,44512,58613,47821,34807,35009,24877,41835,49291,55891,54717,18195,33526,34223,35704,35746,36217,36803,32589
20254,R,전통시장,3130244,대림중앙시장,351008,175337,175670,23668,27418,49329,63845,81404,105345,97985,67243,39922,40420,58537,46902,49419,48580,47423,48042,47728,52412,57402
20254,R,전통시장,3130243,도림시장,52393,25547,26847,6206,7358,10166,8337,8214,12112,15315,10784,5176,5042,8279,7795,7414,7274,7458,7436,7435,7526,7849
20254,R,전통시장,3130242,대림중앙 골목형상점가,249248,124927,124321,16606,21926,38575,46216,54981,70945,61148,47117,30047,30943,45859,34134,34831,33945,33822,33830,33941,37566,41312
20254,R,전통시장,3130241,선유도역 골목형상점가,229343,116584,112761,22737,39382,56959,43544,34047,32676,48034,50548,36096,33546,36226,24894,34643,35463,35269,35002,35005,27880,26082
20254,R,전통시장,3130240,영등포유통상가,26976,12693,14284,2223,4588,6553,4971,3927,4713,5408,5711,4274,4260,4575,2748,4093,4074,4115,4049,4050,3366,3229
