기준_년분기_코드,상권_구분_코드,상권_구분_코드_명,상권_코드,상권_코드_명,서비스_업종_코드,서비스_업종_코드_명,점포_수,유사_업종_점포_수,개업_율,개업_점포_수,폐업_률,폐업_점포_수,프랜차이즈_점포_수
20241,A,골목상권,3110002,독립문역 1번,CS200003,예술학원,2,2,0,0,0,0,0
20241,A,골목상권,3110002,독립문역 1번,CS200005,스포츠 강습,1,1,0,0,0,0,0
20241,A,골목상권,3110002,독립문역 1번,CS200007,치과의원,2,2,0,0,0,0,0
20241,A,골목상권,3110002,독립문역 1번,CS200017,골프연습장,1,1,0,0,0,0,0
20241,A,골목상권,3110002,독립문역 1번,CS200019,PC방,1,1,0,0,0,0,0
20241,A,골목상권,3110002,독립문역 1번,CS200024,스포츠클럽,1,1,0,0,0,0,0
20241,A,골목상권,3110002,독립문역 1번,CS200025,자동차수리,1,2,0,0,0,0,1
20241,A,골목상권,3110002,독립문역 1번,CS200028,미용실,3,3,0,0,0,0,0
20241,A,골목상권,3110002,독립문역 1번,CS200030,피부관리실,2,2,0,0,0,0,0
20241,A,골목상권,3110002,독립문역 1번,CS200031,세탁소,2,2,0,0,0,0,0
20241,A,골목상권,3110002,독립문역 1번,CS200032,가전제품수리,1,1,0,0,0,0,0
20241,A,골목상권,3110002,독립문역 1번,CS200033,부동산중개업,6,6,0,0,0,0,0
20241,A,골목상권,3110002,독립문역 1번,CS200034,여관,1,1,0,0,0,0,0
20241,A,골목상권,3110002,독립문역 1번,CS200037,노래방,1,1,0,0,0,0,0
20241,A,골목상권,3110002,독립문역 1번,CS200038,독서실,2,2,0,0,50,1,0
20241,A,골목상권,3110002,독립문역 1번,CS200043,건축물청소,1,1,0,0,0,0,0
20241,A,골목상권,3110002,독립문역 1번,CS200044,여행사,1,1,0,0,0,0,0
20241,A,골목상권,3110002,독립문역 1번,CS200047,가정용품임대,1,1,0,0,0,0,0
20241,A,골목상권,3110002,독립문역 1번,CS300001,슈퍼마켓,1,2,0,0,0,0,1
20241,A,골목상권,3110002,독립문역 1번,CS300002,편의점,0,1,0,0,0,0,1
20241,A,골목상권,3110002,독립문역 1번,CS300004,핸드폰,1,1,0,0,0,0,0
20241,A,골목상권,3110002,독립문역 1번,CS300009,청과상,2,2,0,0,0,0,0
20241,A,골목상권,3110002,독립문역 1번,CS300010,반찬가게,1,1,0,0,0,0,0
20241,A,골목상권,3110002,독립문역 1번,CS300011,일반의류,1,1,0,0,0,0,0
20241,A,골목상권,3110002,독립문역 1번,CS300018,의약품,4,4,0,0,0,0,0
20241,A,골목상권,3110002,독립문역 1번,CS300019,의료기기,1,1,0,0,0,0,0
20241,A,골목상권,3110002,독립문역 1번,CS300020,서적,1,1,0,0,0,0,0
20241,A,골목상권,3110002,독립문역 1번,CS300022,화장품,1,1,0,0,0,0,0
20241,A,골목상권,3110002,독립문역 1번,CS300029,애완동물,1,1,0,0,0,0,0
20241,A,골목상권,3110002,독립문역 1번,CS300033,철물점,1,1,0,0,0,0,0
20241,A,골목상권,3110002,독립문역 1번,CS300034,악기,1,1,0,0,0,0,0
20241,A,골목상권,3110002,독립문역 1번,CS300035,인테리어,1,1,0,0,0,0,0
20241,A,골목상권,3110003,세검정초등학교,CS100001,한식음식점,7,7,14,1,0,0,0
20241,A,골목상권,3110003,세검정초등학교,CS100003,일식음식점,1,1,0,0,0,0,0
20241,A,골목상권,3110003,세검정초등학교,CS100005,제과점,3,4,0,0,0,0,1
20241,A,골목상권,3110003,세검정초등학교,CS100006,패스트푸드점,0,1,0,0,0,0,1
20241,A,골목상권,3110003,세검정초등학교,CS100008,분식전문점,3,5,0,0,20,1,2
20241,A,골목상권,3110003,세검정초등학교,CS100009,호프-간이주점,8,8,0,0,0,0,0
20241,A,골목상권,3110003,세검정초등학교,CS100010,커피-음료,4,6,0,0,0,0,2
20241,A,골목상권,3110003,세검정초등학교,CS200001,일반교습학원,15,16,0,0,0,0,1
20241,A,골목상권,3110003,세검정초등학교,CS200003,예술학원,7,7,0,0,0,0,0
20241,A,골목상권,3110003,세검정초등학교,CS200005,스포츠 강습,4,4,0,0,0,0,0
20241,A,골목상권,3110003,세검정초등학교,CS200006,일반의원,1,1,0,0,0,0,0
20241,A,골목상권,3110003,세검정초등학교,CS200008,한의원,1,1,0,0,0,0,0
20241,A,골목상권,3110003,세검정초등학교,CS200010,변호사사무소,1,1,0,0,0,0,0
20241,A,골목상권,3110003,세검정초등학교,CS200017,골프연습장,1,1,0,0,0,0,0
20241,A,골목상권,3110003,세검정초등학교,CS200019,PC방,1,1,0,0,0,0,0
20241,A,골목상권,3110003,세검정초등학교,CS200024,스포츠클럽,2,2,0,0,0,0,0
20241,A,골목상권,3110003,세검정초등학교,CS200025,자동차수리,2,3,0,0,0,0,1
20241,A,골목상권,3110003,세검정초등학교,CS200028,미용실,7,7,0,0,0,0,0
20241,A,골목상권,3110003,세검정초등학교,CS200029,네일숍,1,1,0,0,0,0,0
20241,A,골목상권,3110003,세검정초등학교,CS200030,피부관리실,1,1,0,0,0,0,0
20241,A,골목상권,3110003,세검정초등학교,CS200031,세탁소,2,4,0,0,0,0,2
20241,A,골목상권,3110003,세검정초등학교,CS200033,부동산중개업,9,9,0,0,0,0,0
20241,A,골목상권,3110003,세검정초등학교,CS200035,게스트하우스,1,1,0,0,100,1,0
20241,A,골목상권,3110003,세검정초등학교,CS200041,사진관,2,2,0,0,0,0,0
20241,A,골목상권,3110003,세검정초등학교,CS200042,통번역서비스,1,1,0,0,0,0,0
20241,A,골목상권,3110003,세검정초등학교,CS200044,여행사,2,2,0,0,0,0,0
20241,A,골목상권,3110003,세검정초등학교,CS300001,슈퍼마켓,2,3,0,0,67,2,1
20241,A,골목상권,3110003,세검정초등학교,CS300002,편의점,2,4,50,2,0,0,2
20241,A,골목상권,3110003,세검정초등학교,CS300005,주류도매,2,2,0,0,0,0,0
20241,A,골목상권,3110003,세검정초등학교,CS300006,미곡판매,1,1,0,0,0,0,0
20241,A,골목상권,3110003,세검정초등학교,CS300007,육류판매,2,2,0,0,0,0,0
20241,A,골목상권,3110003,세검정초등학교,CS300008,수산물판매,1,1,0,0,0,0,0
20241,A,골목상권,3110003,세검정초등학교,CS300010,반찬가게,3,3,0,0,0,0,0
20241,A,골목상권,3110003,세검정초등학교,CS300011,일반의류,11,11,9,1,0,0,0
20241,A,골목상권,3110003,세검정초등학교,CS300018,의약품,1,1,0,0,0,0,0
